SN,API Name,API Description,P1_t,P2_t,P3_t,P4_t,P5_t,P6_t,P1 info,P2 info,P3 info,P4 info,P5 info,P6 info,Return_t,Return info
1,LMS7002M_create,"
Create an instance of the LMS7002M driver.
This call does not reset or initialize the LMS7002M.
See LMS7002M_init(...) and LMS7002M_reset(...).
",LMS7002M_spi_transact_t ,None,None,None,None,None,transact,None,None,None,None,None,LMS7002M_t*,"return a new instance of the LMS7002M driver
"
2,LMS7002M_destroy,"
Destroy an instance of the LMS7002M driver.
This call simply fees the instance data,
it does not shutdown or have any effects on the chip.
Use the LMS7002M_power_down(...) call before destroy().
",LMS7002M_t *,None,None,None,None,None,self,None,None,None,None,None,void,None
3,LMS7002M_spi_write,"
Perform a SPI write transaction on the given device.
This call can be used directly to access SPI registers,
rather than indirectly through the high level driver calls.
",LMS7002M_t *, const int , const int ,None,None,None,self,addr,value,None,None,None,void,None
4,LMS7002M_spi_read,"
Perform a SPI read transaction on the given device.
This call can be used directly to access SPI registers,
rather than indirectly through the high level driver calls.
",LMS7002M_t *, const int ,None,None,None,None,self,addr,None,None,None,None,int,"return the 16 bit register value
"
5,LMS7002M_regs_spi_write,"
Write a spi register using values from the regs structure.
",LMS7002M_t *, const int ,None,None,None,None,self,addr,None,None,None,None,void,None
6,LMS7002M_regs_spi_read,"
Read a spi register, filling in the fields in the regs structure.
",LMS7002M_t *, const int ,None,None,None,None,self,addr,None,None,None,None,void,None
7,*LMS7002M_regs,"
Get access to the registers structure and unpacked fields.
Use LMS7002M_regs_spi_write()/LMS7002M_regs_spi_read()
to sync the fields in this structure with the device.
",LMS7002M_t *,None,None,None,None,None,self,None,None,None,None,None,LMS7002M_regs_t,"return the pointer to the unpacked LMS7002M fields
"
8,LMS7002M_regs_to_rfic,"
Write the entire internal register cache to the RFIC.
",LMS7002M_t *,None,None,None,None,None,self,None,None,None,None,None,void,None
9,LMS7002M_rfic_to_regs,"
Read the the entire RFIC into the internal register cache.
",LMS7002M_t *,None,None,None,None,None,self,None,None,None,None,None,void,None
10,LMS7002M_dump_ini,"
Dump the known registers to an INI format like the one used by the EVB7 GUI.
",LMS7002M_t *, const char *,None,None,None,None,self,path,None,None,None,None,int,"return 0 for success otherwise failure
"
11,LMS7002M_load_ini,"
Load registers from an INI format like the one used by the EVB7 GUI.
",LMS7002M_t *, const char *,None,None,None,None,self,path,None,None,None,None,int,"return 0 for success otherwise failure
"
12,LMS7002M_set_spi_mode,"
Set the SPI mode (4-wire or 3-wire).
We recommend that you set this before any additional communication.
",LMS7002M_t *, const int ,None,None,None,None,self,numWires,None,None,None,None,void,None
13,LMS7002M_reset,"
Perform all soft and hard resets available.
Call this first to put the LMS7002M into a known state.
",LMS7002M_t *,None,None,None,None,None,self,None,None,None,None,None,void,None
